ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
679446;C115_G4;;car;white;1665227229620;1665227229680;896.66;896.66;896.66;;0.06;0.00
683051;C115_G4;;car;silver;1665227991060;1665227991120;1103.44;1103.44;1103.44;;0.06;0.00
700247;C115_G4;;car;silver;1665231092200;1665231092320;1096.50;1095.73;1097.26;;0.12;0.00
700661;C115_G4;;car;silver;1665231172720;1665231172780;1223.06;1223.06;1223.06;;0.06;0.00
700672;C115_G4;;car;silver;1665231174420;1665231174480;1252.43;1252.43;1252.43;;0.06;0.00
701476;C115_G4;;car;silver;1665231377820;1665231377860;1221.95;1221.95;1221.95;;0.04;0.00
702027;C115_G4;;car;black;1665231537740;1665231537800;1292.56;1292.56;1292.56;;0.06;0.00
703616;C115_G4;;car;silver;1665231924700;1665231924760;1047.09;1047.09;1047.09;;0.06;0.00
703629;C115_G4;;car;red;1665231927740;1665231927800;1108.94;1108.94;1108.94;;0.06;0.00
707671;C115_G4;;car;white;1665232983360;1665232983420;1093.86;1093.86;1093.86;;0.06;0.00
710057;C115_G4;;car;black;1665233724000;1665233724040;2029.12;2029.12;2029.12;;0.04;0.00
711168;C115_G4;;car;silver;1665234018180;1665234018220;1803.19;1803.19;1803.19;;0.04;0.00
711687;C115_G4;;car;silver;1665234153900;1665234153960;1162.29;1161.04;1162.92;;0.06;0.00
719458;C115_G4;;car;silver;1665236122000;1665236122060;1236.04;1236.04;1236.04;;0.06;0.00
742477;C115_G4;;car;silver;1665240243200;1665240243260;1291.81;1291.81;1291.81;;0.06;0.00
755741;C115_G4;;car;white;1665243517640;1665243517700;1203.99;1203.99;1203.99;;0.06;0.00
779329;C115_G4;;car;silver;1665247507960;1665247508020;1116.01;1116.01;1116.01;;0.06;0.00
792210;C115_G4;;motorcycle;undefined;1665249923040;1665249923100;1180.32;1180.32;1180.32;;0.06;0.00
807725;C115_G4;;bus;white;1665252739700;1665252739820;511.57;511.57;511.57;;0.12;0.00
808850;C115_G4;;car;silver;1665253019560;1665253019620;1356.99;1356.99;1356.99;;0.06;0.00
812369;C115_G4;;car;black;1665253825260;1665253825320;1202.78;1202.78;1202.78;;0.06;0.00
812447;C115_G4;;car;black;1665253856880;1665253856940;1300.08;1300.08;1300.08;;0.06;0.00
812767;C115_G4;;car;black;1665253931760;1665253931840;1016.96;1016.96;1016.96;;0.08;0.00
813327;C115_G4;;car;white;1665254054580;1665254054660;1015.37;1015.37;1015.37;;0.08;0.00
814701;C115_G4;;car;black;1665254351620;1665254351700;1072.52;1072.52;1072.52;;0.08;0.00
814739;C115_G4;;car;black;1665254358500;1665254358560;1152.41;1152.41;1152.41;;0.06;0.00
814776;C115_G4;;car;silver;1665254366060;1665254366120;1034.55;1034.55;1034.55;;0.06;0.00
822424;C115_G4;;car;black;1665255846540;1665255846600;1365.80;1365.80;1365.80;;0.06;0.00
823688;C115_G4;;car;black;1665256068360;1665256068420;1021.64;1021.64;1021.64;;0.06;0.00
827181;C115_G4;;car;white;1665256840080;1665256840160;1125.83;1125.83;1125.83;;0.08;0.00
827558;C115_G4;;car;blue;1665256948560;1665256948620;1081.65;1081.65;1081.65;;0.06;0.00
828257;C115_G4;;car;silver;1665257153220;1665257153280;1347.50;1347.50;1347.50;;0.06;0.00
828729;C115_G4;;car;blue;1665257292260;1665257292340;1017.43;1017.43;1017.43;;0.08;0.00
833885;C115_G4;;car;black;1665258661900;1665258661960;1177.18;1177.18;1177.18;;0.06;0.00
834582;C115_G4;;light;white;1665258869540;1665258869600;1175.79;1175.79;1175.79;;0.06;0.00
835791;C115_G4;;car;black;1665259267560;1665259267700;1020.09;1019.25;1021.21;;0.14;0.00
835908;C115_G4;;car;silver;1665259323260;1665259323320;1009.23;1009.23;1009.23;;0.06;0.00
836030;C115_G4;;car;silver;1665259378620;1665259378680;1331.15;1331.15;1331.15;;0.06;0.00
836853;C115_G4;;car;red;1665259730120;1665259730200;1025.70;1025.70;1025.70;;0.08;0.00
839498;C115_G4;;car;blue;1665260759620;1665260759700;817.40;817.40;817.40;;0.08;0.00
839519;C115_G4;;car;silver;1665260767240;1665260767320;948.86;948.86;948.86;;0.08;0.00
839538;C115_G4;;car;black;1665260770680;1665260770740;1063.94;1063.94;1063.94;;0.06;0.00
840173;C115_G4;;car;black;1665261034300;1665261034360;1125.15;1125.15;1125.15;;0.06;0.00
840190;C115_G4;;car;white;1665261040920;1665261041000;1068.83;1068.83;1068.83;;0.08;0.00
841025;C115_G4;;car;silver;1665261440420;1665261440520;1176.64;1169.88;1186.77;;0.10;0.00
841045;C115_G4;;car;black;1665261446040;1665261446120;1074.10;1074.10;1074.10;;0.08;0.00
842195;C115_G4;;car;silver;1665261935620;1665261935700;1142.76;1142.76;1142.76;;0.08;0.00
842202;C115_G4;;car;silver;1665261939080;1665261939160;1154.68;1154.68;1154.68;;0.08;0.00
842436;C115_G4;;car;black;1665262040780;1665262040840;1119.09;1119.09;1119.09;;0.06;0.00
842573;C115_G4;;car;white;1665262084540;1665262084620;975.72;975.72;975.72;;0.08;0.00
842577;C115_G4;;car;black;1665262086600;1665262086680;926.67;926.67;926.67;;0.08;0.00
843077;C115_G4;;car;silver;1665262352160;1665262352240;788.45;788.45;788.45;;0.08;0.00
843331;C115_G4;;car;black;1665262514660;1665262514720;1169.07;1169.07;1169.07;;0.06;0.00
843376;C115_G4;;car;black;1665262540720;1665262540780;1133.29;1133.29;1133.29;;0.06;0.00
843936;C115_G4;;car;black;1665262877520;1665262877580;1185.70;1185.70;1185.70;;0.06;0.00
844388;C115_G4;;car;black;1665263149100;1665263149160;1071.17;1071.17;1071.17;;0.06;0.00
844812;C115_G4;;car;silver;1665263453840;1665263453900;1078.77;1078.77;1078.77;;0.06;0.00
845380;C115_G4;;car;silver;1665263708140;1665263708200;1060.30;1060.30;1060.30;;0.06;0.00
845451;C115_G4;;car;black;1665263747460;1665263747540;1177.56;1177.56;1177.56;;0.08;0.00
845590;C115_G4;;car;black;1665263806900;1665263807000;1060.37;1052.88;1064.12;;0.06;0.00
845954;C115_G4;;car;silver;1665264004240;1665264004300;1129.52;1129.52;1129.52;;0.06;0.00
847279;C115_G4;;car;black;1665264855000;1665264855080;1030.70;1030.70;1030.70;;0.08;0.00
847648;C115_G4;;light;white;1665265092280;1665265092340;996.69;996.69;996.69;;0.06;0.00
847960;C115_G4;;car;blue;1665265286540;1665265286600;1029.42;1029.42;1029.42;;0.06;0.00
848040;C115_G4;;car;black;1665265338440;1665265338500;1049.85;1049.85;1049.85;;0.06;0.00
848047;C115_G4;;car;silver;1665265347960;1665265348020;1200.78;1200.78;1200.78;;0.06;0.00
848188;C115_G4;;car;white;1665265430960;1665265431040;1042.40;1042.40;1042.40;;0.08;0.00
848291;C115_G4;;car;silver;1665265533500;1665265533560;1011.57;1011.57;1011.57;;0.06;0.00
848928;C115_G4;;car;silver;1665265982600;1665265982680;980.05;980.05;980.05;;0.08;0.00
849018;C115_G4;;car;silver;1665266029780;1665266029860;974.93;974.93;974.93;;0.08;0.00
850518;C115_G4;;car;blue;1665267032540;1665267032620;824.04;824.04;824.04;;0.08;0.00
850676;C115_G4;;car;blue;1665267135080;1665267135160;1066.95;1066.95;1066.95;;0.08;0.00
850687;C115_G4;;car;white;1665267144880;1665267144960;1016.75;1016.75;1016.75;;0.08;0.00
850724;C115_G4;;car;black;1665267186560;1665267186600;1229.85;1229.85;1229.85;;0.04;0.00
850753;C115_G4;;car;black;1665267198600;1665267198660;1102.88;1102.88;1102.88;;0.06;0.00
850897;C115_G4;;car;silver;1665267317740;1665267317800;1023.85;1023.85;1023.85;;0.06;0.00
851102;C115_G4;;car;blue;1665267439760;1665267439820;1109.48;1109.48;1109.48;;0.06;0.00
851329;C115_G4;;car;white;1665267619600;1665267619660;1094.24;1094.24;1094.24;;0.06;0.00
851579;C115_G4;;car;silver;1665267755200;1665267755340;933.05;933.05;933.05;;0.14;0.00
851681;C115_G4;;car;black;1665267812080;1665267812160;1049.73;1049.73;1049.73;;0.08;0.00
851712;C115_G4;;car;black;1665267842460;1665267842520;1160.46;1160.46;1160.46;;0.06;0.00
851732;C115_G4;;car;white;1665267864280;1665267864380;885.56;885.56;885.56;;0.10;0.00
851813;C115_G4;;car;white;1665267946640;1665267946680;1148.73;1148.73;1148.73;;0.04;0.00
851942;C115_G4;;car;silver;1665268025580;1665268025640;994.26;994.26;994.26;;0.06;0.00
852053;C115_G4;;car;blue;1665268086620;1665268086680;991.71;991.71;991.71;;0.06;0.00
852603;C115_G4;;car;white;1665268463680;1665268463760;1040.60;1040.60;1040.60;;0.08;0.00
852728;C115_G4;;car;blue;1665268575340;1665268575400;915.96;915.96;915.96;;0.06;0.00
852933;C115_G4;;car;black;1665268781440;1665268781540;812.80;812.80;812.80;;0.10;0.00
853422;C115_G4;;car;white;1665269206200;1665269206280;1008.35;1008.35;1008.35;;0.08;0.00
853677;C115_G4;;car;blue;1665269412620;1665269412680;1203.78;1203.78;1203.78;;0.06;0.00
853986;C115_G4;;car;red;1665269736600;1665269736660;1160.55;1160.55;1160.55;;0.06;0.00
854093;C115_G4;;car;black;1665269819420;1665269819560;1022.94;1020.94;1025.61;;0.14;0.00
854476;C115_G4;;car;black;1665270186980;1665270187040;1170.52;1170.52;1170.52;;0.06;0.00
854480;C115_G4;;car;silver;1665270188780;1665270188840;1191.43;1191.43;1191.43;;0.06;0.00
854826;C115_G4;;car;black;1665270507680;1665270507740;1251.33;1251.33;1251.33;;0.06;0.00
855018;C115_G4;;car;black;1665270695920;1665270696000;1033.92;1033.92;1033.92;;0.08;0.00
855058;C115_G4;;car;silver;1665270735140;1665270735220;1006.18;1006.18;1006.18;;0.08;0.00
855549;C115_G4;;car;silver;1665271295400;1665271295440;1369.59;1369.59;1369.59;;0.04;0.00
855669;C115_G4;;car;black;1665271443480;1665271443520;1149.46;1149.46;1149.46;;0.04;0.00
855800;C115_G4;;car;blue;1665271574300;1665271574360;976.58;976.58;976.58;;0.06;0.00
855993;C115_G4;;light;white;1665271864960;1665271865020;1095.26;1095.26;1095.26;;0.06;0.00
856191;C115_G4;;car;black;1665272128500;1665272128560;1190.42;1190.42;1190.42;;0.06;0.00
856244;C115_G4;;car;blue;1665272184500;1665272184640;1005.34;1004.47;1006.00;;0.14;0.00
856265;C115_G4;;car;black;1665272197940;1665272198000;1230.25;1230.25;1230.25;;0.06;0.00
856303;C115_G4;;car;silver;1665272236800;1665272236920;1078.89;1076.81;1080.98;;0.12;0.00
856527;C115_G4;;car;black;1665272491560;1665272491640;973.51;973.51;973.51;;0.08;0.00
856684;C115_G4;;car;silver;1665272789820;1665272789940;1157.74;1157.74;1157.74;;0.12;0.00
856713;C115_G4;;car;silver;1665272834700;1665272834780;1086.40;1086.40;1086.40;;0.08;0.00
856795;C115_G4;;car;white;1665272953620;1665272953680;953.03;953.03;953.03;;0.06;0.00
856805;C115_G4;;car;silver;1665272963740;1665272963800;955.58;955.58;955.58;;0.06;0.00
857089;C115_G4;;car;black;1665273519480;1665273519540;987.96;987.96;987.96;;0.06;0.00
857232;C115_G4;;car;silver;1665273726340;1665273726480;989.81;988.07;991.12;;0.14;0.00
860102;C115_G4;;car;silver;1665285051100;1665285051160;991.78;991.78;991.78;;0.06;0.00
860882;C115_G4;;car;blue;1665287534180;1665287534260;867.51;867.51;867.51;;0.08;0.00
862590;C115_G4;;car;silver;1665292921200;1665292921260;1527.16;1527.16;1527.16;;0.06;0.00
863749;C115_G4;;car;silver;1665296140140;1665296140240;807.92;807.92;807.92;;0.10;0.00
864116;C115_G4;;car;black;1665297528140;1665297528200;1343.52;1343.52;1343.52;;0.06;0.00
865015;C115_G4;;car;white;1665299285820;1665299285880;1272.69;1272.69;1272.69;;0.06;0.00
865974;C115_G4;;car;silver;1665300719540;1665300719660;1215.86;1206.70;1234.17;;0.12;0.00
868080;C115_G4;;car;silver;1665302863820;1665302863920;1153.22;1153.22;1153.22;;0.10;0.00
872028;C115_G4;;car;red;1665305714160;1665305714220;982.47;982.47;982.47;;0.06;0.00
875388;C115_G4;;car;white;1665307643180;1665307643260;829.19;829.19;829.19;;0.08;0.00
875452;C115_G4;;car;silver;1665307677440;1665307677500;996.70;996.70;996.70;;0.06;0.00
876747;C115_G4;;car;white;1665308246300;1665308246380;1092.03;1092.03;1092.03;;0.08;0.00
877368;C115_G4;;car;silver;1665308526240;1665308526300;977.92;977.92;977.92;;0.06;0.00
877531;C115_G4;;car;silver;1665308606880;1665308606940;979.73;979.73;979.73;;0.06;0.00
884087;C115_G4;;car;silver;1665311623120;1665311623200;946.32;946.32;946.32;;0.08;0.00
887616;C115_G4;;car;silver;1665313355480;1665313355560;900.76;900.76;900.76;;0.08;0.00
888895;C115_G4;;car;black;1665313887880;1665313888020;1016.36;1016.36;1016.36;;0.14;0.00
889784;C115_G4;;car;silver;1665314191480;1665314191560;894.07;894.07;894.07;;0.08;0.00
891544;C115_G4;;car;black;1665314887860;1665314887920;984.58;984.58;984.58;;0.06;0.00
