C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS;=DATEVALUE(MID(A1,1,10))+TIMEVALUE(MID(A1,12,8));1661878800000;;;;;END_TIMESTAMP;;;
C115_G1;1657210000000;1661243407400;75;431;14824;133;417;291;ok;;1661965200000;;;;;;;;
C115_G1;1657210000000;1661243410100;75;431;14825;133;417;291;ok;;1662544800000;;;1;;;;;
C115_G1;1657210000000;1661243446420;75;431;14826;133;417;291;ok;;1662670800000;;;1;;;;;
C115_G1;1657210000000;1661243469480;75;431;14827;133;417;291;ok;;9107;;;1;;;;;
C115_G1;1657210000000;1661243471000;75;431;14828;133;417;291;ok;;7564;1543;;1;;;;;
C115_G1;1657210000000;1661243478680;75;431;14829;133;417;291;ok;;7476;88;;1;;;;;
C115_G1;1657210000000;1661243574480;75;432;14829;133;417;291;ok;;4577;2899;;1;;;;;
C115_G1;1657210000000;1661243582900;75;432;14830;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243593720;75;432;14831;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243596800;75;432;14832;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243632520;75;432;14833;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243639000;75;432;14834;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243640920;75;432;14835;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243642920;75;432;14836;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243647160;75;432;14837;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243682580;75;432;14838;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243687580;75;432;14839;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243692520;75;432;14840;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243734680;75;432;14841;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243891720;75;432;14842;133;417;291;ok;;;;;1;;;;;
C115_G1;1657210000000;1661243925600;75;432;14843;133;417;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243928440;75;432;14844;133;417;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243929980;75;432;14844;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243932560;75;432;14845;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243972040;75;432;14846;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243984760;75;432;14847;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661243996600;75;432;14848;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244018920;75;432;14849;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244024940;75;432;14850;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244033700;75;432;14851;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244048560;75;433;14851;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244069700;75;433;14852;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244071240;75;433;14853;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244092500;75;433;14854;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244096200;75;433;14855;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244099340;75;433;14856;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244102800;75;433;14857;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244134180;76;433;14857;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244162980;76;433;14858;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244165220;76;433;14859;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244173140;76;433;14860;133;418;291;ok;;;;;;;;;;
C115_G1;1657210000000;1661244179000;76;434;14860;133;418;291;ok;;;;;;;;;;
