ID;;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s;;
677724;0;C115_G1;;car;white;1665226852320;1665226852500;572.84;569.92;583.10;;0.18;0.00;;103,1112
677738;14;C115_G1;;car;silver;1665226858400;1665226858600;459.23;450.47;472.37;;0.20;0.00;;91,846
677878;140;C115_G1;;car;silver;1665226879860;1665226879880;523.90;523.90;523.90;;0.02;0.00;;10,478
678051;173;C115_G1;;car;black;1665226921700;1665226921780;344.73;344.73;344.73;;0.08;0.00;;27,5784
678346;295;C115_G1;;car;silver;1665226989380;1665226989420;362.83;362.83;362.83;;0.04;0.00;;14,5132
678395;49;C115_G1;;car;black;1665226997460;1665226997500;504.38;504.38;504.38;;0.04;0.00;;20,1752
678554;159;C115_G1;;car;black;1665227039400;1665227039580;489.81;479.26;510.92;;0.18;0.00;;88,1658
679032;478;C115_G1;;car;silver;1665227138060;1665227138260;462.67;462.51;463.04;;0.20;0.00;;92,534
679053;21;C115_G1;;car;silver;1665227143600;1665227143720;411.54;411.54;411.54;;0.12;0.00;;
679060;7;C115_G1;;car;black;1665227145940;1665227146100;420.85;399.58;427.94;;0.16;0.00;;
679765;705;C115_G1;;car;black;1665227289760;1665227289820;407.84;407.84;407.84;;0.06;0.00;;
680459;694;C115_G1;;car;silver;1665227413020;1665227413260;312.18;312.18;312.18;;0.24;0.00;;
680716;257;C115_G1;;car;silver;1665227470700;1665227470820;321.08;321.08;321.08;;0.12;0.00;;
680754;38;C115_G1;;car;white;1665227482580;1665227483220;106.01;106.01;106.01;;0.64;0.64;;
680953;199;C115_G1;;car;black;1665227527980;1665227528160;446.46;446.46;446.46;;0.18;0.00;;
680975;22;C115_G1;;car;black;1665227531600;1665227531780;466.78;459.83;475.46;;0.18;0.00;;
680979;4;C115_G1;;car;white;1665227537760;1665227537800;416.20;416.20;416.20;;0.04;0.00;;
681267;288;C115_G1;;heavy;white;1665227608280;1665227608460;365.42;365.42;365.42;;0.18;0.00;;
681629;362;C115_G1;;car;white;1665227688760;1665227688840;263.45;263.45;263.45;;0.08;0.00;;
681649;20;C115_G1;;car;black;1665227693240;1665227693260;111.41;111.41;111.41;;0.02;0.00;;
681823;174;C115_G1;;car;silver;1665227720780;1665227721000;383.14;367.78;384.68;;0.22;0.00;;
681882;59;C115_G1;;car;black;1665227740060;1665227740240;440.60;431.07;441.79;;0.18;0.00;;
682113;231;C115_G1;;car;black;1665227794265;1665227796650;88.61;88.61;88.61;;2.38;2.38;;
682144;31;C115_G1;;car;white;1665227801580;1665227801810;231.11;231.11;231.11;;0.23;0.23;;
682254;110;C115_G1;;car;black;1665227822380;1665227822440;497.76;497.76;497.76;;0.06;0.00;;
683002;748;C115_G1;;car;silver;1665227977480;1665227977700;498.08;497.64;502.55;;0.22;0.00;;
683118;116;C115_G1;;car;silver;1665228024300;1665228024500;400.73;400.73;400.73;;0.20;0.00;;
683149;31;C115_G1;;car;silver;1665228033780;1665228034000;420.84;409.77;425.00;;0.22;0.00;;
683386;237;C115_G1;;car;black;1665228079180;1665228079360;543.22;543.22;543.22;;0.18;0.00;;
683436;50;C115_G1;;car;white;1665228090220;1665228090240;438.66;438.66;438.66;;0.02;0.00;;
683474;38;C115_G1;;car;white;1665228094580;1665228094780;357.66;357.66;357.66;;0.20;0.00;;
683523;49;C115_G1;;car;silver;1665228107540;1665228107620;481.89;481.89;481.89;;0.08;0.00;;
683897;374;C115_G1;;car;white;1665228190450;1665228191040;174.50;160.25;184.26;;0.59;0.59;;
