ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
677965;C115_G2;;bus;white;1665226900280;1665226900750;133.74;133.74;133.74;;0.47;0.47
678080;C115_G2;;car;black;1665226930180;1665226930840;190.88;187.33;229.91;;0.48;0.00
678501;C115_G2;;car;white;1665227024320;1665227024700;384.40;376.37;456.70;;0.20;0.00
678659;C115_G2;;car;silver;1665227060680;1665227061120;338.21;324.25;373.13;;0.28;0.00
678677;C115_G2;;car;silver;1665227064580;1665227064760;373.95;373.95;373.95;;0.18;0.00
678764;C115_G2;;car;silver;1665227083740;1665227084320;292.82;264.21;308.72;;0.58;0.00
678891;C115_G2;;car;black;1665227123580;1665227124500;126.48;80.44;194.69;;0.74;0.38
679093;C115_G2;;light;white;1665227153940;1665227154480;206.46;179.78;226.49;;0.54;0.00
679208;C115_G2;;car;silver;1665227173180;1665227173700;270.69;261.42;321.70;;0.26;0.00
679455;C115_G2;;car;black;1665227228300;1665227228720;349.03;349.03;349.03;;0.42;0.00
679894;C115_G2;;car;white;1665227314920;1665227315060;300.81;300.81;300.81;;0.14;0.00
679930;C115_G2;;car;silver;1665227321360;1665227321420;379.67;379.67;379.67;;0.06;0.00
680111;C115_G2;;car;white;1665227356240;1665227356700;209.06;209.06;209.06;;0.46;0.00
680128;C115_G2;;car;black;1665227360250;1665227361510;113.85;101.09;121.97;;1.26;1.26
680151;C115_G2;;car;black;1665227363680;1665227364820;125.25;97.28;183.72;;0.68;0.68
680228;C115_G2;;car;black;1665227373200;1665227373940;217.32;196.89;247.96;;0.30;0.00
680570;C115_G2;;light;white;1665227428160;1665227428300;310.62;310.62;310.62;;0.14;0.00
680716;C115_G2;;car;silver;1665227471440;1665227471460;278.37;278.37;278.37;;0.02;0.00
680724;C115_G2;;car;silver;1665227473680;1665227473960;205.84;205.84;205.84;;0.28;0.00
681049;C115_G2;;car;silver;1665227554300;1665227554400;324.39;324.39;324.39;;0.10;0.00
681385;C115_G2;;car;black;1665227626460;1665227626700;253.98;253.98;253.98;;0.24;0.00
681400;C115_G2;;car;silver;1665227629760;1665227629920;207.21;207.21;207.21;;0.16;0.00
681575;C115_G2;;car;black;1665227668240;1665227668540;363.68;363.68;363.68;;0.30;0.00
681649;C115_G2;;car;black;1665227697400;1665227699210;63.97;63.97;63.97;;1.81;1.81
681866;C115_G2;;car;white;1665227735700;1665227736000;256.34;256.34;256.34;;0.30;0.00
681982;C115_G2;;car;white;1665227762320;1665227762800;304.78;301.43;348.32;;0.28;0.00
682095;C115_G2;;car;black;1665227785700;1665227786060;319.21;315.99;338.52;;0.14;0.00
682105;C115_G2;;car;white;1665227788700;1665227789360;227.05;211.38;283.50;;0.46;0.00
682165;C115_G2;;car;yellow;1665227806100;1665227806120;268.74;268.74;268.74;;0.02;0.00
682193;C115_G2;;car;silver;1665227809400;1665227810300;181.36;167.03;224.33;;0.64;0.40
682207;C115_G2;;car;black;1665227813180;1665227816650;64.40;45.95;101.67;;2.34;2.32
682282;C115_G2;;car;black;1665227829760;1665227830180;361.49;336.77;429.45;;0.30;0.00
682474;C115_G2;;light;white;1665227876880;1665227877300;363.96;340.77;414.97;;0.32;0.00
682636;C115_G2;;light;white;1665227900360;1665227900560;273.59;273.59;273.59;;0.20;0.00
682755;C115_G2;;car;silver;1665227921840;1665227922280;380.09;367.01;428.02;;0.28;0.00
682917;C115_G2;;car;black;1665227960840;1665227961980;164.21;158.92;178.76;;0.80;0.26
682931;C115_G2;;car;silver;1665227964160;1665227964240;282.65;282.65;282.65;;0.08;0.00
683016;C115_G2;;car;silver;1665227980380;1665227980920;314.04;295.59;348.31;;0.40;0.00
683062;C115_G2;;car;black;1665228003520;1665228003580;320.71;320.71;320.71;;0.06;0.00
683159;C115_G2;;car;silver;1665228036600;1665228036840;194.43;194.43;194.43;;0.24;0.00
683245;C115_G2;;car;black;1665228049880;1665228050380;297.66;294.69;301.44;;0.50;0.00
683270;C115_G2;;motorcycle;undefined;1665228056400;1665228056920;275.41;247.24;303.57;;0.48;0.00
683694;C115_G2;;car;black;1665228152860;1665228153020;39.92;39.92;39.92;;0.16;0.16
683706;C115_G2;;car;silver;1665228173420;1665228184520;43.04;35.97;51.72;;11.10;11.10
684493;C115_G2;;car;silver;1665228285040;1665228285100;282.33;282.33;282.33;;0.06;0.00
684532;C115_G2;;car;black;1665228292400;1665228292980;56.74;56.74;56.74;;0.58;0.58
684580;C115_G2;;car;black;1665228300680;1665228301680;148.58;138.44;156.88;;1.00;1.00
684635;C115_G2;;car;red;1665228330340;1665228331560;104.92;104.92;104.92;;1.22;1.22
684788;C115_G2;;car;white;1665228339180;1665228339600;437.37;420.02;489.42;;0.32;0.00
685167;C115_G2;;light;white;1665228423540;1665228423940;392.91;321.86;475.61;;0.40;0.00
685351;C115_G2;;car;black;1665228450100;1665228450380;289.32;289.32;289.32;;0.28;0.00
685369;C115_G2;;light;white;1665228452000;1665228452520;321.81;312.96;336.19;;0.42;0.00
685581;C115_G2;;car;red;1665228491720;1665228492220;169.84;169.84;169.84;;0.50;0.00
685824;C115_G2;;car;black;1665228563720;1665228563920;348.88;348.88;348.88;;0.20;0.00
685834;C115_G2;;car;silver;1665228567920;1665228568420;373.67;362.41;398.07;;0.38;0.00
685940;C115_G2;;car;black;1665228596540;1665228596600;219.34;219.34;219.34;;0.06;0.00
686001;C115_G2;;car;black;1665228607980;1665228608320;188.45;188.45;188.45;;0.34;0.34
686057;C115_G2;;car;silver;1665228612920;1665228613720;33.39;16.35;129.94;;0.80;0.68
687400;C115_G2;;car;silver;1665228781940;1665228782380;433.87;401.75;488.93;;0.38;0.00
687484;C115_G2;;car;white;1665228804700;1665228804740;302.30;302.30;302.30;;0.04;0.00
687643;C115_G2;;car;black;1665228829060;1665228829540;344.65;327.84;390.87;;0.30;0.00
687948;C115_G2;;car;white;1665228904640;1665228905040;358.63;349.94;376.03;;0.18;0.00
688245;C115_G2;;bus;white;1665228960500;1665228961300;137.05;137.05;137.05;;0.80;0.80
689002;C115_G2;;car;white;1665229049320;1665229049500;334.29;334.29;334.29;;0.18;0.00
689104;C115_G2;;car;black;1665229064800;1665229065500;318.24;273.89;330.86;;0.70;0.00
689648;C115_G2;;car;black;1665229136780;1665229137220;386.53;373.10;399.96;;0.44;0.00
689731;C115_G2;;car;silver;1665229152120;1665229152200;248.65;248.65;248.65;;0.08;0.00
689882;C115_G2;;car;silver;1665229173340;1665229173980;271.33;236.46;289.50;;0.64;0.00
689900;C115_G2;;car;white;1665229176560;1665229176740;266.62;266.62;266.62;;0.18;0.00
690080;C115_G2;;car;white;1665229206240;1665229206600;404.26;389.37;431.05;;0.28;0.00
690208;C115_G2;;car;black;1665229222880;1665229223420;367.92;344.81;406.44;;0.48;0.00
690330;C115_G2;;car;black;1665229244460;1665229244740;249.57;249.57;249.57;;0.28;0.00
691055;C115_G2;;car;white;1665229339580;1665229340440;165.69;162.04;234.94;;0.40;0.00
691474;C115_G2;;light;white;1665229418200;1665229420560;84.56;69.15;122.02;;1.99;1.99
691494;C115_G2;;car;black;1665229423500;1665229426440;88.60;86.00;92.84;;2.88;1.88
691619;C115_G2;;car;white;1665229443500;1665229443560;287.44;287.44;287.44;;0.06;0.00
691643;C115_G2;;car;silver;1665229445800;1665229445820;302.00;302.00;302.00;;0.02;0.00
691676;C115_G2;;light;white;1665229452180;1665229453040;58.65;58.65;58.65;;0.86;0.86
691950;C115_G2;;car;silver;1665229524640;1665229524680;224.26;224.26;224.26;;0.04;0.00
692283;C115_G2;;car;silver;1665229583260;1665229583940;269.17;256.66;295.76;;0.50;0.00
692293;C115_G2;;car;black;1665229587100;1665229587280;225.99;225.99;225.99;;0.18;0.00
692555;C115_G2;;car;black;1665229629360;1665229629680;252.63;252.63;252.63;;0.32;0.00
692573;C115_G2;;car;black;1665229632820;1665229633200;244.15;244.15;244.15;;0.38;0.00
692596;C115_G2;;car;silver;1665229636660;1665229637220;278.80;254.65;319.87;;0.56;0.00
692982;C115_G2;;car;undefined;1665229705440;1665229705860;304.29;304.29;304.29;;0.42;0.00
693067;C115_G2;;car;black;1665229719380;1665229719960;308.90;291.20;323.28;;0.58;0.00
693112;C115_G2;;motorcycle;undefined;1665229725400;1665229725920;343.38;309.90;392.45;;0.52;0.00
693121;C115_G2;;car;black;1665229728340;1665229728900;276.30;262.88;293.37;;0.50;0.00
693246;C115_G2;;car;white;1665229753660;1665229754100;377.58;335.05;407.32;;0.44;0.00
693477;C115_G2;;car;black;1665229800580;1665229801080;354.68;338.84;399.04;;0.38;0.00
693651;C115_G2;;car;black;1665229829080;1665229829640;288.29;279.97;306.10;;0.44;0.00
693735;C115_G2;;car;black;1665229853840;1665229854260;403.47;383.60;436.59;;0.32;0.00
693776;C115_G2;;car;silver;1665229862720;1665229862860;299.83;299.83;299.83;;0.14;0.00
693850;C115_G2;;car;black;1665229875260;1665229875700;298.08;290.84;322.67;;0.44;0.00
693954;C115_G2;;car;black;1665229898280;1665229898480;355.84;355.84;355.84;;0.20;0.00
693983;C115_G2;;car;white;1665229902920;1665229903580;264.06;246.86;288.43;;0.58;0.00
694017;C115_G2;;car;black;1665229907220;1665229908060;215.13;201.80;247.71;;0.62;0.00
694416;C115_G2;;car;black;1665229970840;1665229971900;177.56;170.50;185.47;;1.06;0.00
694513;C115_G2;;car;silver;1665229982080;1665229982660;298.86;294.13;334.32;;0.34;0.00
694673;C115_G2;;car;blue;1665230003440;1665230003700;280.65;280.65;280.65;;0.26;0.00
694903;C115_G2;;car;black;1665230034660;1665230034880;261.71;261.71;261.71;;0.22;0.00
695035;C115_G2;;car;white;1665230049360;1665230050020;248.56;246.78;250.93;;0.56;0.00
695224;C115_G2;;car;black;1665230071440;1665230071640;347.42;347.42;347.42;;0.20;0.00
695618;C115_G2;;car;white;1665230111940;1665230112320;224.73;224.73;224.73;;0.38;0.00
695747;C115_G2;;car;black;1665230127260;1665230127300;283.25;283.25;283.25;;0.04;0.00
695768;C115_G2;;car;silver;1665230130660;1665230130900;320.42;320.42;320.42;;0.24;0.00
695805;C115_G2;;car;black;1665230135700;1665230135760;392.01;392.01;392.01;;0.06;0.00
696807;C115_G2;;car;white;1665230300340;1665230300880;287.45;285.33;301.22;;0.30;0.00
696821;C115_G2;;car;silver;1665230304180;1665230304440;272.04;272.04;272.04;;0.26;0.00
697007;C115_G2;;car;silver;1665230349540;1665230349560;392.47;392.47;392.47;;0.02;0.00
