C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G4;1657205065620;1660518235140;104;800;34317;259;864;691;ok
C115_G4;1657205065620;1660518236840;104;800;34318;259;864;691;ok
C115_G4;1657205065620;1660518304680;104;800;34319;259;864;691;ok
C115_G4;1657205065620;1660518319340;104;800;34320;259;864;691;ok
C115_G4;1657205065620;1660518388220;104;800;34321;259;864;691;ok
C115_G4;1657205065620;1660518440720;104;800;34322;259;864;691;ok
C115_G4;1657205065620;1660518445820;104;800;34323;259;864;691;ok
C115_G4;1657205065620;1660518473520;104;800;34323;259;864;692;ok
C115_G4;1657205065620;1660518540760;104;800;34324;259;864;692;ok
C115_G4;1657205065620;1660518552720;104;800;34324;259;864;693;ok
C115_G4;1657205065620;1660518554780;104;800;34325;259;864;693;ok
C115_G4;1657205065620;1660518600340;104;800;34326;259;864;693;ok
C115_G4;1657205065620;1660518603780;104;800;34327;259;864;693;ok
C115_G4;1657205065620;1660518702180;104;800;34328;259;864;693;ok
C115_G4;1657205065620;1660518703880;104;800;34329;259;864;693;ok
C115_G4;1657205065620;1660518770760;104;800;34329;259;864;694;ok
C115_G4;1657205065620;1660518797500;104;800;34330;259;864;694;ok
C115_G4;1657205065620;1660518839020;104;800;34331;259;864;694;ok
C115_G4;1657205065620;1660518844500;104;800;34332;259;864;694;ok
C115_G4;1657205065620;1660518847600;104;800;34333;259;864;694;ok
C115_G4;1657205065620;1660518849640;104;800;34334;259;864;694;ok
C115_G4;1657205065620;1660518867820;104;800;34335;259;864;694;ok
C115_G4;1657205065620;1660518880160;104;800;34336;259;864;694;ok
C115_G4;1657205065620;1660518881880;104;800;34337;259;864;694;ok
C115_G4;1657205065620;1660518892160;104;800;34338;259;864;694;ok
C115_G4;1657205065620;1660518929880;104;800;34339;259;864;694;ok
C115_G4;1657205065620;1660519034100;104;800;34340;259;864;694;ok
C115_G4;1657205065620;1660519040620;104;800;34341;259;864;694;ok
C115_G4;1657205065620;1660519055020;104;800;34342;259;864;694;ok
C115_G4;1657205065620;1660519093420;104;800;34343;259;864;694;ok
C115_G4;1657205065620;1660519116360;104;800;34344;259;864;694;ok
C115_G4;1657205065620;1660519121160;104;800;34345;259;864;694;ok
C115_G4;1657205065620;1660519123940;104;800;34346;259;864;694;ok
C115_G4;1657205065620;1660519144840;104;800;34347;259;864;694;ok
C115_G4;1657205065620;1660519151360;104;800;34348;259;864;694;ok
C115_G4;1657205065620;1660519180160;104;801;34348;259;864;694;ok
C115_G4;1657205065620;1660519185300;104;801;34349;259;864;694;ok
C115_G4;1657205065620;1660519212400;104;801;34350;259;864;694;ok
C115_G4;1657205065620;1660519264160;104;801;34351;259;864;694;ok
C115_G4;1657205065620;1660519274800;104;801;34352;259;864;694;ok
C115_G4;1657205065620;1660519299140;104;801;34353;259;864;694;ok
C115_G4;1657205065620;1660519307020;104;801;34353;259;865;694;ok
C115_G4;1657205065620;1660519308740;104;801;34354;259;865;694;ok
C115_G4;1657205065620;1660519413640;104;801;34355;259;865;694;ok
C115_G4;1657205065620;1660519459260;104;801;34356;259;865;694;ok
C115_G4;1657205065620;1660519583020;104;801;34357;259;865;694;ok
C115_G4;1657205065620;1660519587480;104;801;34358;259;865;694;ok
C115_G4;1657205065620;1660519591260;104;801;34359;259;865;694;ok
C115_G4;1657205065620;1660519596040;104;801;34360;259;865;694;ok
C115_G4;1657205065620;1660519597760;104;801;34361;259;865;694;ok
C115_G4;1657205065620;1660519600500;104;801;34362;259;865;694;ok
C115_G4;1657205065620;1660519601540;104;801;34362;259;865;695;ok
C115_G4;1657205065620;1660519704420;104;801;34363;259;865;695;ok
C115_G4;1657205065620;1660519757900;104;801;34364;259;865;695;ok
C115_G4;1657205065620;1660519768520;104;801;34364;259;865;696;ok
C115_G4;1657205065620;1660519797320;104;801;34365;259;865;696;ok
C115_G4;1657205065620;1660519831620;104;801;34365;259;865;697;ok
C115_G4;1657205065620;1660519832300;104;801;34366;259;865;697;ok
C115_G4;1657205065620;1660519849440;104;802;34366;259;865;697;ok
C115_G4;1657205065620;1660519901900;104;802;34367;259;865;697;ok
C115_G4;1657205065620;1660519908060;104;802;34368;259;865;697;ok
C115_G4;1657205065620;1660520002360;104;802;34368;259;865;698;ok
C115_G4;1657205065620;1660520129880;104;802;34369;259;865;698;ok
C115_G4;1657205065620;1660520136740;104;802;34370;259;865;698;ok
C115_G4;1657205065620;1660520138100;104;802;34371;259;865;698;ok
C115_G4;1657205065620;1660520139140;104;802;34372;259;865;698;ok
C115_G4;1657205065620;1660520144620;104;802;34373;259;865;698;ok
C115_G4;1657205065620;1660520152160;104;802;34374;259;865;698;ok
C115_G4;1657205065620;1660520195360;104;802;34375;259;865;698;ok
C115_G4;1657205065620;1660520200500;104;802;34376;259;865;698;ok
C115_G4;1657205065620;1660520202240;104;802;34377;259;865;698;ok
C115_G4;1657205065620;1660520214580;104;802;34378;259;865;698;ok
C115_G4;1657205065620;1660520216280;104;802;34379;259;865;698;ok
C115_G4;1657205065620;1660520235140;104;802;34380;259;865;698;ok
C115_G4;1657205065620;1660520248840;104;802;34381;259;865;698;ok
C115_G4;1657205065620;1660520249540;104;802;34382;259;865;698;ok
C115_G4;1657205065620;1660520285880;104;802;34383;259;865;698;ok
C115_G4;1657205065620;1660520318440;104;802;34384;259;865;698;ok
C115_G4;1657205065620;1660520352400;104;802;34385;259;865;698;ok
C115_G4;1657205065620;1660520573540;104;802;34386;259;865;698;ok
C115_G4;1657205065620;1660520632160;104;802;34387;259;865;698;ok
C115_G4;1657205065620;1660520667140;104;802;34388;259;865;698;ok
C115_G4;1657205065620;1660520688040;104;802;34389;259;865;698;ok
C115_G4;1657205065620;1660520690100;104;802;34390;259;865;698;ok
C115_G4;1657205065620;1660520741360;104;802;34390;259;865;699;ok
C115_G4;1657205065620;1660520747200;104;802;34391;259;865;699;ok
C115_G4;1657205065620;1660520768440;104;802;34392;259;865;699;ok
C115_G4;1657205065620;1660520804320;104;802;34393;259;865;699;ok
C115_G4;1657205065620;1660520983380;104;802;34394;259;865;699;ok
C115_G4;1657205065620;1660521086380;104;802;34395;259;865;699;ok
C115_G4;1657205065620;1660521260420;104;802;34396;259;865;699;ok
C115_G4;1657205065620;1660521276400;104;802;34397;259;865;699;ok
C115_G4;1657205065620;1660521281140;104;802;34398;259;865;699;ok
C115_G4;1657205065620;1660521414440;104;802;34399;259;865;699;ok
C115_G4;1657205065620;1660521421480;104;802;34400;259;865;699;ok
C115_G4;1657205065620;1660521450480;104;802;34401;259;865;699;ok
C115_G4;1657205065620;1660521486600;104;802;34402;259;865;699;ok
C115_G4;1657205065620;1660521602480;104;802;34403;259;865;699;ok
C115_G4;1657205065620;1660521604380;104;802;34404;259;865;699;ok
C115_G4;1657205065620;1660521625160;104;802;34405;259;865;699;ok
C115_G4;1657205065620;1660521637940;104;802;34406;259;865;699;ok
C115_G4;1657205065620;1660521684600;104;802;34407;259;865;699;ok
C115_G4;1657205065620;1660521694740;104;802;34408;259;865;699;ok
C115_G4;1657205065620;1660521715320;104;802;34409;259;865;699;ok
C115_G4;1657205065620;1660521726080;104;802;34410;259;865;699;ok
C115_G4;1657205065620;1660521757360;104;802;34411;259;865;699;ok
C115_G4;1657205065620;1660521821740;104;802;34412;259;865;699;ok
C115_G4;1657205065620;1660521846440;104;802;34413;259;865;699;ok
C115_G4;1657205065620;1660521878180;104;802;34414;259;865;699;ok
C115_G4;1657205065620;1660521999940;104;802;34415;259;865;699;ok
C115_G4;1657205065620;1660522053200;104;802;34416;259;865;699;ok
C115_G4;1657205065620;1660522153260;104;802;34417;259;865;699;ok
C115_G4;1657205065620;1660522178380;104;802;34418;259;865;699;ok
C115_G4;1657205065620;1660522192120;104;802;34419;259;865;699;ok
C115_G4;1657205065620;1660522201680;104;802;34420;259;865;699;ok
C115_G4;1657205065620;1660522203940;104;802;34421;259;865;699;ok
C115_G4;1657205065620;1660522211540;104;802;34422;259;865;699;ok
C115_G4;1657205065620;1660522238220;104;802;34423;259;865;699;ok
C115_G4;1657205065620;1660522247560;104;802;34424;259;865;699;ok
C115_G4;1657205065620;1660522249900;104;802;34425;259;865;699;ok
C115_G4;1657205065620;1660522264900;104;802;34426;259;865;699;ok
C115_G4;1657205065620;1660522307380;104;802;34426;259;866;699;ok
C115_G4;1657205065620;1660522337320;104;802;34427;259;866;699;ok
C115_G4;1657205065620;1660522369860;104;802;34428;259;866;699;ok
C115_G4;1657205065620;1660522495400;104;802;34429;259;866;699;ok
C115_G4;1657205065620;1660522689540;104;802;34430;259;866;699;ok
C115_G4;1657205065620;1660522904240;104;802;34431;259;866;699;ok
C115_G4;1657205065620;1660522911140;104;802;34432;259;866;699;ok
C115_G4;1657205065620;1660522924480;104;802;34433;259;866;699;ok
C115_G4;1657205065620;1660522995760;104;802;34434;259;866;699;ok
C115_G4;1657205065620;1660523081600;104;802;34435;259;866;699;ok
C115_G4;1657205065620;1660523190740;104;802;34436;259;866;699;ok
C115_G4;1657205065620;1660523204480;104;803;34436;259;866;699;ok
C115_G4;1657205065620;1660523333760;104;803;34437;259;866;699;ok
C115_G4;1657205065620;1660523397300;104;803;34437;259;866;700;ok
C115_G4;1657205065620;1660523520060;104;803;34438;259;866;700;ok
C115_G4;1657205065620;1660523578160;104;803;34439;259;866;700;ok
C115_G4;1657205065620;1660523584560;104;803;34440;259;866;700;ok
C115_G4;1657205065620;1660523600000;104;803;34441;259;866;700;ok
C115_G4;1657205065620;1660523626380;104;803;34442;259;866;700;ok
C115_G4;1657205065620;1660523632500;104;803;34443;259;866;700;ok
C115_G4;1657205065620;1660523702720;104;803;34444;259;866;700;ok
C115_G4;1657205065620;1660523709540;104;803;34445;259;866;700;ok
C115_G4;1657205065620;1660523719280;104;803;34446;259;866;700;ok
C115_G4;1657205065620;1660524205620;104;803;34447;259;866;700;ok
C115_G4;1657205065620;1660524346980;104;803;34448;259;866;700;ok
C115_G4;1657205065620;1660524701460;104;803;34449;259;866;700;ok
C115_G4;1657205065620;1660524864180;104;803;34450;259;866;700;ok
C115_G4;1657205065620;1660524927340;104;803;34451;259;866;700;ok
C115_G4;1657205065620;1660525030640;104;803;34452;259;866;700;ok
C115_G4;1657205065620;1660525336480;104;803;34453;259;866;700;ok
C115_G4;1657205065620;1660525338660;104;803;34454;259;866;700;ok
C115_G4;1657205065620;1660525372180;104;803;34455;259;866;700;ok
C115_G4;1657205065620;1660525386080;104;803;34456;259;866;700;ok
C115_G4;1657205065620;1660525388560;104;803;34457;259;866;700;ok
C115_G4;1657205065620;1660525438480;104;803;34458;259;866;700;ok
